,UPC,Banner,Kansas,New York,Northern California,Texas,Average_Price,Std
1610,494020899,Trader Joes,49.489999999999995,49.489999999999995,53.19,45.79,49.489999999999995,2.616295090390225
1611,494020899,Walmart,43.01,44.72,50.4,46.04333333333333,46.04333333333333,2.7355468679345756
1612,494020899,Wegmans,47.39,48.09,47.39,46.69,47.39,0.4949747468305853
1613,494020899,Whole Foods,1.99,52.49,59.19,37.89,37.89,22.11142238753536
1614,182310151,No Store,36.24,34.59,37.89,36.24,36.24,1.1667261889578024
1615,182310151,Safeway,33.29,33.44,33.44,33.59,33.44,0.10606601717798363
1616,182310151,Trader Joes,37.09,37.09,37.09,37.09,37.09,0.0
1617,182310151,Walmart,32.32333333333333,31.35,35.25,30.37,32.32333333333333,1.8253949344365632
1618,182310151,Wegmans,32.29,33.59,32.82333333333333,32.59,32.82333333333333,0.48131763593978955
1619,182310151,Whole Foods,1.99,36.69,41.29,35.59,28.89,15.677212762477902
1620,68034486,No Store,5.39,5.39,5.39,5.39,5.39,0.0
1621,68034486,Safeway,5.19,6.09,5.523333333333333,5.29,5.523333333333333,0.3488074922742723
1622,68034486,Trader Joes,4.99,4.99,4.99,4.99,4.99,0.0
1623,68034486,Walmart,4.74,4.93,5.51,5.06,5.0600000000000005,0.28363709207365656
1624,68034486,Wegmans,5.1899999999999995,5.29,5.1899999999999995,5.09,5.1899999999999995,0.07071067811865482
1625,68034486,Whole Foods,6.04,6.04,6.49,5.59,6.039999999999999,0.3181980515339465
1626,919110708,Safeway,15.29,15.29,15.29,15.29,15.29,0.0
1627,919110708,Trader Joes,14.39,14.99,14.690000000000001,14.690000000000001,14.690000000000001,0.21213203435596412
1628,919110708,Walmart,13.75,14.22,16.03,14.666666666666666,14.666666666666666,0.8512441874495633
1629,919110708,Wegmans,15.09,15.29,15.09,14.89,15.09,0.141421356237309
1630,919110708,Whole Foods,1.99,16.69,18.79,12.49,12.489999999999998,6.472634703117425
1631,768879663,No Store,61.89,61.89,61.89,61.89,61.89,0.0
1632,768879663,Safeway,64.94,69.79,64.94,60.09,64.94,3.4294678887547567
1633,768879663,Trader Joes,56.59,61.49,66.39,61.49,61.49000000000001,3.464823227814082
1634,768879663,Walmart,59.504999999999995,55.94,63.07,59.504999999999995,59.504999999999995,2.520835674930043
1635,768879663,Wegmans,57.79,60.09,58.75666666666667,58.39,58.75666666666667,0.8436033823229191
1636,768879663,Whole Foods,1.99,65.59,33.79,33.79,33.79,22.485995641732213
1637,827352822,No Store,22.59,22.59,22.59,22.59,22.59,0.0
1638,827352822,Safeway,21.69,21.79,21.79,21.89,21.79,0.0707106781186545
1639,827352822,Walmart,19.65,20.849999999999998,23.07,19.83,20.849999999999998,1.3609555466656513
1640,827352822,Wegmans,21.09,21.89,21.423333333333332,21.29,21.423333333333332,0.29439202887759525
1641,827352822,Whole Foods,1.99,14.489999999999998,26.99,14.489999999999998,14.489999999999998,8.838834764831843
1642,555531366,No Store,13.39,13.39,13.39,13.39,13.39,0.0
1643,555531366,Safeway,11.69,13.79,12.456666666666665,11.89,12.456666666666665,0.8195527235429495
1644,555531366,Trader Joes,13.09,13.09,13.09,13.09,13.09,0.0
1645,555531366,Walmart,10.67,11.0,12.44,11.37,11.37,0.6655448895454008
1646,555531366,Wegmans,11.39,11.89,11.590000000000002,11.49,11.590000000000002,0.1870828693386971
1647,555531366,Whole Foods,1.99,12.89,14.59,12.49,10.49,4.970412457734268
1648,899819893,Safeway,55.09,55.39,55.39,55.69,55.39,0.21213203435596223
1649,899819893,Trader Joes,52.99,52.99,52.99,52.99,52.99,0.0
1650,899819893,Walmart,54.269999999999996,54.269999999999996,58.33,50.21,54.269999999999996,2.870853531617382
1651,899819893,Wegmans,54.89,55.69,54.89,54.09,54.89,0.565685424949236
1652,899819893,Whole Foods,1.99,60.69,68.49,58.99,47.54,26.541147299994396
1653,744486125,Safeway,19.09,22.39,20.256666666666664,19.29,20.256666666666664,1.3083067937860247
1654,744486125,Trader Joes,18.19,18.89,18.456666666666667,18.29,18.456666666666667,0.2677063067368169
1655,744486125,Walmart,19.075,17.95,20.2,19.075,19.075,0.795495128834866
1656,744486125,Wegmans,18.49,19.29,18.823333333333334,18.69,18.82333333333333,0.29439202887759486
1657,744486125,Whole Foods,1.99,20.99,23.69,15.556666666666667,15.556666666666665,8.362515570488743
1658,364526351,No Store,33.69,33.69,33.69,33.69,33.69,0.0
1659,364526351,Trader Joes,30.69,30.69,32.99,28.39,30.689999999999998,1.6263455967290597
1660,364526351,Walmart,31.34,31.34,31.34,31.34,31.34,0.0
1661,364526351,Wegmans,28.69,28.84,28.84,28.99,28.84,0.10606601717798111
1662,364526351,Whole Foods,1.99,32.59,22.05666666666667,31.59,22.05666666666667,12.29335864061025
1663,744228999,No Store,7.49,7.49,7.49,7.49,7.49,0.0
1664,744228999,Safeway,7.19,7.19,7.19,7.19,7.19,0.0
1665,744228999,Trader Joes,6.79,6.84,6.84,6.89,6.84,0.03535533905932725
1666,744228999,Walmart,6.57,6.72,7.66,6.51,6.865,0.4653224688320994
1667,744228999,Wegmans,6.99,7.19,7.0566666666666675,6.99,7.0566666666666675,0.08164965809277268
1668,744228999,Whole Foods,1.99,7.89,8.89,7.69,6.615,2.7086666461563706
1669,637601085,No Store,35.69,35.69,35.69,35.69,35.69,0.0
1670,637601085,Safeway,34.29,34.44,34.44,34.59,34.44,0.10606601717798363
1671,637601085,Trader Joes,32.89,32.89,32.89,32.89,32.89,0.0
1672,637601085,Walmart,30.91,32.24,36.36,33.169999999999995,33.17,2.009266035148158
1673,637601085,Wegmans,34.09,34.59,34.09,33.59,34.09,0.3535533905932738
1674,637601085,Whole Foods,1.99,1.99,1.99,1.99,1.99,0.0
1675,676268953,No Store,61.89,61.89,61.89,61.89,61.89,0.0
1676,676268953,Safeway,59.49,59.49,59.49,59.49,59.49,0.0
1677,676268953,Trader Joes,61.79,61.79,66.39,57.19,61.79,3.2526911934581197
1678,676268953,Walmart,63.07,63.07,63.07,63.07,63.07,0.0
1679,676268953,Wegmans,57.79,58.09,58.09,58.39,58.09,0.21213203435596475
1680,676268953,Whole Foods,65.59,65.59,65.59,65.59,65.59,0.0
1681,980113553,No Store,47.39,47.39,47.39,47.39,47.39,0.0
1682,980113553,Safeway,49.69,53.39,49.69,45.99,49.69,2.616295090390225
1683,980113553,Trader Joes,43.29,45.923333333333325,50.79,43.69,45.923333333333325,2.983566098927032
1684,980113553,Walmart,45.475,42.75,48.2,45.475,45.475,1.926865978733343
1685,980113553,Wegmans,45.290000000000006,45.99,45.290000000000006,44.59,45.290000000000006,0.49497474683058273
1686,980113553,Whole Foods,56.49,56.49,56.49,56.49,56.49,0.0
1687,569684083,No Store,24.09,22.99,25.19,24.09,24.09,0.7778174593052033
1688,569684083,Safeway,22.39,22.39,22.39,22.39,22.39,0.0
1689,569684083,Trader Joes,21.09,22.356666666666666,24.69,21.29,22.356666666666666,1.4306175822583296
1690,569684083,Walmart,21.466666666666665,20.8,23.4,20.2,21.466666666666665,1.2027745701779138
1691,569684083,Wegmans,22.04,22.39,22.04,21.69,22.040000000000003,0.24748737341529137
1692,569684083,Whole Foods,1.99,24.39,27.49,23.69,19.39,10.147167092346514
1693,568256903,No Store,54.59,54.59,54.59,54.59,54.59,0.0
1694,568256903,Safeway,52.39,52.69,52.69,52.99,52.69,0.21213203435596475
1695,568256903,Trader Joes,54.44,54.44,58.49,50.39,54.44,2.863782463805518
1696,568256903,Walmart,52.405,49.25,55.56,52.405,52.405,2.2309218946435583
1697,568256903,Wegmans,52.19,52.99,52.19,51.39,52.19,0.5656854249492386
1698,568256903,Whole Foods,1.99,57.79,65.09,56.09,45.24,25.198263829081558
1699,354716417,Safeway,37.09,37.290000000000006,37.290000000000006,37.49,37.290000000000006,0.141421356237309
1700,354716417,Trader Joes,35.29,35.489999999999995,35.489999999999995,35.69,35.489999999999995,0.141421356237309
1701,354716417,Walmart,36.635,36.635,39.37,33.9,36.635,1.933937046545207
1702,354716417,Wegmans,36.09,37.49,36.656666666666666,36.39,36.656666666666666,0.5212165257037294
1703,354716417,Whole Foods,1.99,40.89,21.44,21.44,21.44,13.753226894078349
1704,158953776,No Store,61.79,61.79,61.79,61.79,61.79,0.0
1705,158953776,Safeway,59.29,69.59,62.95666666666667,59.99,62.95666666666667,4.069602765217593
1706,158953776,Trader Joes,56.99,56.99,56.99,56.99,56.99,0.0
1707,158953776,Walmart,53.5,55.75,62.86,54.11,56.555,3.732026929163293
1708,158953776,Wegmans,59.09,59.99,59.09,58.19,59.09,0.6363961030678943
1709,158953776,Whole Foods,1.99,65.39,73.69,63.49,51.14,28.63481272856521
1710,383815591,No Store,59.69,59.69,59.69,59.69,59.69,0.0
1711,383815591,Safeway,57.39,67.29,60.89000000000001,57.99,60.89,3.9249203813580746
1712,383815591,Trader Joes,54.59,56.79,64.09,55.19,57.665,3.7956389448945234
1713,383815591,Walmart,51.85,53.92,60.84,55.53666666666667,55.536666666666676,3.3290564228722035
1714,383815591,Wegmans,57.14,57.99,57.14,56.29,57.14,0.6010407640085664
1715,383815591,Whole Foods,1.99,63.29,32.64,32.64,32.64,21.672822843367683
1716,338863686,Safeway,6.39,6.39,6.39,6.39,6.39,0.0
1717,338863686,Trader Joes,6.09,6.09,6.09,6.09,6.09,0.0
1718,338863686,Walmart,5.8,6.13,6.73,5.86,6.13,0.36803532439155906
1719,338863686,Wegmans,6.29,6.39,6.29,6.19,6.29,0.0707106781186545
1720,338863686,Whole Foods,1.99,6.99,7.89,5.623333333333332,5.623333333333333,2.2475913032993042
1721,321130189,Safeway,44.09,47.39,44.09,40.79,44.09,2.333452377915607
1722,321130189,Trader Joes,41.94,41.94,45.09,38.79,41.94,2.227386360737626
1723,321130189,Walmart,39.199999999999996,37.94,42.83,36.83,39.2,2.2572881960440943
1724,321130189,Wegmans,40.19,40.79,40.19,39.59,40.19,0.424264068711927
1725,321130189,Whole Foods,1.99,44.49,23.240000000000002,23.240000000000002,23.240000000000002,15.026019100214137
1726,130358296,No Store,36.79,36.79,36.79,36.79,36.79,0.0
1727,130358296,Safeway,32.29,37.89,34.29,32.69,34.28999999999999,2.209072203437453
1728,130358296,Trader Joes,30.79,32.656666666666666,36.09,31.09,32.656666666666666,2.10515240936771
1729,130358296,Walmart,31.884999999999998,31.884999999999998,34.22,29.55,31.884999999999998,1.6510943340705877
1730,130358296,Wegmans,31.39,32.69,31.923333333333332,31.69,31.923333333333332,0.48131763593978716
1731,130358296,Whole Foods,1.99,35.59,40.19,25.923333333333336,25.923333333333332,14.746072923550416
1732,371889838,Safeway,8.29,9.69,8.989999999999998,8.989999999999998,8.989999999999998,0.4949747468305834
1733,371889838,Trader Joes,8.09,8.19,8.09,7.99,8.09,0.0707106781186545
1734,371889838,Walmart,7.5,7.86,8.83,8.063333333333333,8.063333333333333,0.48643259210980777
1735,371889838,Wegmans,7.99,8.39,8.156666666666666,8.09,8.156666666666666,0.14719601443879762
1736,371889838,Whole Foods,1.99,9.09,6.656666666666666,8.89,6.656666666666667,2.8586127171526168
1737,870721732,Safeway,19.439999999999998,20.89,19.439999999999998,17.99,19.439999999999998,1.0253048327204946
1738,870721732,Trader Joes,17.19,17.19,17.19,17.19,17.19,0.0
1739,870721732,Walmart,16.1,16.8,18.92,16.36,17.045,1.1110693047690594
1740,870721732,Wegmans,17.29,17.99,17.59,17.49,17.59,0.25495097567963904
1741,870721732,Whole Foods,1.99,19.69,22.19,19.09,15.739999999999998,8.0232474721898
1742,357064541,No Store,60.94,58.19,63.69,60.94,60.94,1.9445436482630056
1743,357064541,Safeway,55.89,55.89,55.89,55.89,55.89,0.0
1744,357064541,Trader Joes,58.04,58.04,62.39,53.69,58.04,3.0759144981614828
1745,357064541,Walmart,54.22666666666667,52.52,59.22,50.94,54.22666666666667,3.10838650535397
1746,357064541,Wegmans,54.29,56.49,55.19,54.79,55.19,0.8154753215150057
1747,357064541,Whole Foods,1.99,43.723333333333336,69.39,59.79,43.723333333333336,25.780742166715577
1748,55833407,No Store,32.49,32.49,32.49,32.49,32.49,0.0
1749,55833407,Safeway,28.59,33.49,30.323333333333334,28.89,30.323333333333338,1.9420779249728033
1750,55833407,Trader Joes,27.84,28.29,27.84,27.39,27.840000000000003,0.31819805153394587
1751,55833407,Walmart,28.53,26.86,30.2,28.53,28.53,1.1808683245815343
1752,55833407,Wegmans,27.69,28.89,28.189999999999998,27.99,28.19,0.4415880433163924
1753,55833407,Whole Foods,1.99,31.49,35.49,30.59,24.889999999999997,13.34934455319811
1754,15052612,Safeway,53.99,54.24,54.24,54.49,54.24,0.1767766952966369
1755,15052612,Trader Joes,60.19,60.19,60.19,60.19,60.19,0.0
1756,15052612,Walmart,53.94,50.75,57.13,53.94,53.94,2.2556706319850877
1757,15052612,Wegmans,52.39,54.49,53.25666666666667,52.89,53.25666666666667,0.7756717518813403
1758,15052612,Whole Foods,1.99,59.49,39.75666666666667,57.79,39.75666666666667,23.135074382129545
1759,612864775,No Store,26.99,26.99,26.99,26.99,26.99,0.0
1760,612864775,Safeway,25.939999999999998,27.89,25.939999999999998,23.99,25.939999999999998,1.3788582233137683
1761,612864775,Trader Joes,22.59,22.689999999999998,22.689999999999998,22.79,22.689999999999998,0.0707106781186545
1762,612864775,Walmart,21.47,22.3,25.11,22.959999999999997,22.959999999999997,1.3489069649164096
1763,612864775,Wegmans,23.99,23.99,23.99,23.99,23.99,0.0
1764,612864775,Whole Foods,1.99,26.19,29.49,19.223333333333333,19.223333333333333,10.617516972751524
1765,26791818,No Store,11.69,11.19,12.19,11.69,11.69,0.3535533905932738
1766,26791818,Safeway,10.69,10.739999999999998,10.739999999999998,10.79,10.739999999999998,0.03535533905932725
1767,26791818,Trader Joes,10.29,10.29,10.29,10.29,10.29,0.0
1768,26791818,Walmart,9.7,10.15,11.45,9.81,10.2775,0.696971125657297
1769,26791818,Wegmans,10.64,10.79,10.64,10.49,10.64,0.10606601717798175
1770,26791818,Whole Foods,1.99,11.79,13.29,9.023333333333333,9.023333333333333,4.3395468273388484
1771,360754991,No Store,25.49,25.49,25.49,25.49,25.49,0.0
1772,360754991,Safeway,24.49,28.69,25.956666666666667,24.69,25.956666666666667,1.675310916417209
1773,360754991,Trader Joes,25.39,25.39,27.29,23.49,25.389999999999997,1.3435028842544405
1774,360754991,Walmart,23.78,23.06,25.92,22.36,23.78,1.333641631023868
1775,360754991,Wegmans,23.79,24.69,24.240000000000002,24.240000000000002,24.240000000000002,0.31819805153394715
1776,360754991,Whole Foods,1.99,26.99,18.39,26.19,18.39,10.046890066085128
1777,794251522,No Store,40.74,38.89,42.59,40.74,40.74,1.308147545195114
1778,794251522,Safeway,37.39,37.59,37.59,37.79,37.59,0.141421356237309
1779,794251522,Trader Joes,35.99,35.99,35.99,35.99,35.99,0.0
1780,794251522,Walmart,36.29333333333333,35.13,39.6,34.15,36.29333333333333,2.054340932432265
1781,794251522,Wegmans,37.239999999999995,37.79,37.239999999999995,36.69,37.239999999999995,0.38890872965260165
1782,794251522,Whole Foods,1.99,41.19,21.59,21.59,21.59,13.85929291125633
1783,70848410,Safeway,2.69,2.69,2.69,2.69,2.69,0.0
1784,70848410,Trader Joes,2.79,2.79,2.99,2.59,2.79,0.14142135623730964
1785,70848410,Walmart,2.4,2.57,2.85,2.45,2.5675,0.17440971876589909
1786,70848410,Wegmans,2.6399999999999997,2.69,2.6399999999999997,2.59,2.6399999999999997,0.03535533905932741
1787,70848410,Whole Foods,1.99,2.89,3.29,2.723333333333333,2.7233333333333336,0.4708148963941845
1788,541222561,Safeway,2.89,3.39,3.14,3.14,3.14,0.1767766952966369
1789,541222561,Trader Joes,3.04,3.04,3.29,2.79,3.04,0.1767766952966369
1790,541222561,Walmart,2.91,2.86,3.17,2.7,2.91,0.16896745248715794
1791,541222561,Wegmans,2.9400000000000004,2.99,2.9400000000000004,2.89,2.94,0.03535533905932741
1792,541222561,Whole Foods,1.99,3.19,3.59,2.9233333333333333,2.9233333333333333,0.5887840577551897
1793,448330081,No Store,49.69,49.69,49.69,49.69,49.69,0.0
1794,448330081,Safeway,48.29,48.29,48.29,48.29,48.29,0.0
1795,448330081,Trader Joes,45.39,45.64,45.64,45.89,45.64,0.1767766952966369
1796,448330081,Walmart,43.17,46.900000000000006,50.63,46.900000000000006,46.900000000000006,2.6375082938258227
1797,448330081,Wegmans,46.39,48.29,47.19,46.89,47.19,0.6964194138592054
1798,448330081,Whole Foods,1.99,1.99,1.99,1.99,1.99,0.0
1799,477240979,No Store,10.69,10.69,10.69,10.69,10.69,0.0
1800,477240979,Safeway,10.29,10.34,10.34,10.39,10.34,0.03535533905932788
1801,477240979,Trader Joes,9.79,10.19,11.49,9.89,10.34,0.6800735254367724
1802,477240979,Walmart,9.33,9.77,10.93,10.01,10.01,0.5844655678480982
1803,477240979,Wegmans,9.99,10.39,10.190000000000001,10.190000000000001,10.190000000000001,0.14142135623730964
1804,477240979,Whole Foods,1.99,11.29,12.79,10.99,9.265,4.255217385751285
1805,931390073,No Store,17.69,17.69,17.69,17.69,17.69,0.0
1806,931390073,Safeway,16.99,16.99,16.99,16.99,16.99,0.0
1807,931390073,Trader Joes,16.19,16.89,16.49,16.39,16.49,0.25495097567963904
1808,931390073,Walmart,15.42,16.319999999999997,18.02,15.52,16.319999999999997,1.0416333327999827
1809,931390073,Wegmans,16.94,17.19,16.94,16.69,16.94,0.1767766952966369
1810,931390073,Whole Foods,1.99,18.79,21.09,18.19,15.014999999999999,7.597491362285317
1811,950498192,Safeway,58.19,58.489999999999995,58.489999999999995,58.79,58.489999999999995,0.21213203435596475
1812,950498192,Trader Joes,56.74,57.59,56.74,55.89,56.74,0.6010407640085664
1813,950498192,Walmart,56.49,54.76,61.61,53.1,56.489999999999995,3.189804069218045
1814,950498192,Wegmans,57.94,58.79,57.94,57.09,57.94,0.6010407640085639
1815,950498192,Whole Foods,1.99,64.09,72.29,46.123333333333335,46.123333333333335,27.181090240582087
1816,273984951,No Store,52.89,52.89,52.89,52.89,52.89,0.0
1817,273984951,Safeway,50.79,59.59,53.89000000000001,51.29,53.89,3.49499642346026
1818,273984951,Trader Joes,48.79,48.79,48.79,48.79,48.79,0.0
1819,273984951,Walmart,45.95,48.69,53.8,46.32,48.69,3.1319562576766597
1820,273984951,Wegmans,49.29,51.29,50.123333333333335,49.79,50.12333333333333,0.7359800721939873
1821,273984951,Whole Foods,1.99,55.99,63.09,54.39,43.865,24.397271876175008
1822,614172105,No Store,33.99,33.99,33.99,33.99,33.99,0.0
1823,614172105,Safeway,32.69,32.84,32.84,32.99,32.84,0.10606601717798363
1824,614172105,Trader Joes,33.89,33.89,36.39,31.39,33.89,1.7677669529663689
1825,614172105,Walmart,29.5,30.72,34.63,29.84,31.1725,2.045230732704749
1826,614172105,Wegmans,32.49,32.99,32.49,31.99,32.49,0.353553390593275
1827,614172105,Whole Foods,1.99,35.99,40.59,26.19,26.190000000000005,14.908386901338456
1828,727229928,Safeway,28.39,28.39,28.39,28.39,28.39,0.0
1829,727229928,Trader Joes,29.05666666666667,28.19,31.69,27.29,29.056666666666665,1.6436747447918851
1830,727229928,Walmart,25.74,26.76,30.14,27.546666666666667,27.546666666666667,1.6285167075184301
1831,727229928,Wegmans,27.59,28.69,28.05666666666667,27.89,28.05666666666667,0.40207793606049447
1832,727229928,Whole Foods,1.99,31.29,16.64,16.64,16.64,10.35911434438292
1833,240879755,No Store,34.59,34.59,34.59,34.59,34.59,0.0
1834,240879755,Safeway,33.19,38.99,36.09,36.09,36.09,2.050609665440989
1835,240879755,Trader Joes,31.59,31.740000000000002,31.740000000000002,31.89,31.740000000000002,0.10606601717798238
1836,240879755,Walmart,32.25,31.2,35.21,30.34,32.25,1.8379472244871453
1837,240879755,Wegmans,33.09,33.59,33.09,32.59,33.09,0.3535533905932738
1838,240879755,Whole Foods,1.99,36.59,41.29,35.49,28.840000000000003,15.65415280364926
1839,739054494,No Store,23.69,23.69,23.69,23.69,23.69,0.0
1840,739054494,Safeway,22.79,22.89,22.89,22.99,22.89,0.0707106781186545
1841,739054494,Trader Joes,21.89,21.89,21.89,21.89,21.89,0.0
1842,739054494,Walmart,20.65,21.42,24.11,22.060000000000002,22.06,1.284542720192676
1843,739054494,Wegmans,22.64,22.99,22.64,22.29,22.639999999999997,0.24748737341529137
1844,739054494,Whole Foods,1.99,18.223333333333333,28.29,24.39,18.223333333333333,10.036018466835674
1845,854689154,Safeway,51.89,60.89,55.05666666666667,52.39,55.05666666666667,3.5765439556458225
1846,854689154,Trader Joes,49.29,51.39,57.89,49.79,52.09,3.437295448459443
1847,854689154,Walmart,51.86,48.75,54.97,51.86,51.86,2.1991020894901623
1848,854689154,Wegmans,51.64,52.39,51.64,50.89,51.64,0.5303300858899106
1849,854689154,Whole Foods,60.79,57.19,64.39,60.79,60.79,2.545584412271572
1850,966176819,No Store,42.39,42.39,42.39,42.39,42.39,0.0
1851,966176819,Safeway,37.19,37.39,37.39,37.59,37.39,0.14142135623731153
1852,966176819,Trader Joes,35.69,35.69,35.69,35.69,35.69,0.0
1853,966176819,Walmart,39.44,39.44,39.44,39.44,39.44,0.0
1854,966176819,Wegmans,37.040000000000006,37.59,37.040000000000006,36.49,37.040000000000006,0.38890872965260165
1855,966176819,Whole Foods,1.99,40.99,46.19,39.79,32.24,17.629733406946347
1856,849299370,No Store,12.04,11.49,12.59,12.04,12.040000000000001,0.388908729652601
1857,849299370,Safeway,11.19,11.19,11.19,11.19,11.19,0.0
1858,849299370,Trader Joes,10.79,10.99,10.79,10.59,10.790000000000001,0.14142135623730964
1859,849299370,Walmart,10.766666666666666,10.44,11.74,10.12,10.766666666666666,0.6066849814085289
1860,849299370,Wegmans,11.04,11.19,11.04,10.89,11.04,0.10606601717798175
1861,849299370,Whole Foods,1.99,12.19,8.656666666666666,11.79,8.656666666666666,4.084931659975068
1862,71726448,No Store,8.49,8.49,8.49,8.49,8.49,0.0
1863,71726448,Safeway,8.19,8.239999999999998,8.239999999999998,8.29,8.239999999999998,0.03535533905932725
1864,71726448,Trader Joes,7.79,8.256666666666666,9.09,7.89,8.256666666666666,0.5115336417740936
1865,71726448,Walmart,7.46,7.73,8.71,7.966666666666668,7.966666666666668,0.4650985558638802
1866,71726448,Wegmans,7.89,8.29,8.056666666666667,7.99,8.056666666666667,0.14719601443879718
1867,71726448,Whole Foods,1.99,8.99,10.09,7.023333333333333,7.023333333333333,3.106713161311592
1868,826771870,No Store,15.29,15.29,15.29,15.29,15.29,0.0
1869,826771870,Safeway,14.69,17.29,15.623333333333333,14.89,15.623333333333333,1.0230672835481867
1870,826771870,Trader Joes,15.29,15.29,16.39,14.19,15.29,0.7778174593052027
1871,826771870,Walmart,13.34,13.83,15.62,14.263333333333334,14.263333333333332,0.8486557998780578
1872,826771870,Wegmans,14.29,14.89,14.556666666666667,14.49,14.556666666666667,0.21602468994692914
1873,826771870,Whole Foods,17.240000000000002,16.19,18.29,17.240000000000002,17.240000000000002,0.7424621202458742
1874,549109328,Safeway,24.59,24.689999999999998,24.689999999999998,24.79,24.689999999999998,0.0707106781186545
1875,549109328,Trader Joes,25.090000000000003,24.29,27.39,23.59,25.090000000000003,1.4300349646075095
1876,549109328,Walmart,22.22,23.17,26.03,22.44,23.465,1.5220791700828185
1877,549109328,Wegmans,24.79,24.79,24.79,24.79,24.79,0.0
1878,549109328,Whole Foods,1.99,14.139999999999999,14.139999999999999,26.29,14.139999999999999,8.591347391416553
1879,88576101,No Store,57.19,57.19,57.19,57.19,57.19,0.0
1880,88576101,Safeway,54.99,55.24,55.24,55.49,55.24,0.1767766952966369
1881,88576101,Trader Joes,57.04,57.04,61.29,52.79,57.04,3.005203820042827
1882,88576101,Walmart,53.339999999999996,51.66,58.24,50.12,53.339999999999996,3.0496229275108773
1883,88576101,Wegmans,54.69,55.49,54.69,53.89,54.69,0.5656854249492386
1884,88576101,Whole Foods,1.99,60.59,68.29,58.79,47.415,26.467751604546997
1885,583333446,No Store,47.29,45.19,49.39,47.29,47.29,1.4849242404917509
1886,583333446,Safeway,43.39,43.59,43.59,43.79,43.59,0.141421356237309
1887,583333446,Trader Joes,42.34,42.99,42.34,41.69,42.34,0.45961940777125737
1888,583333446,Walmart,42.795,42.795,45.94,39.65,42.795,2.2238508268316917
1889,583333446,Wegmans,43.19,43.79,43.19,42.59,43.19,0.424264068711927
1890,583333446,Whole Foods,1.99,47.79,24.89,24.89,24.89,16.19274528917194
1891,86858655,No Store,2.69,2.69,2.69,2.69,2.69,0.0
1892,86858655,Safeway,2.59,2.59,2.59,2.59,2.59,0.0
1893,86858655,Trader Joes,2.49,2.49,2.49,2.49,2.49,0.0
1894,86858655,Walmart,2.45,2.55,2.8,2.6,2.6,0.12747548783981952
1895,86858655,Wegmans,2.59,2.69,2.623333333333333,2.59,2.623333333333333,0.04082482904638634
1896,86858655,Whole Foods,1.99,1.99,1.99,1.99,1.99,0.0
1897,327660050,No Store,32.19,32.19,32.19,32.19,32.19,0.0
1898,327660050,Safeway,30.89,36.29,32.82333333333333,31.29,32.82333333333333,2.1275964529643927
1899,327660050,Trader Joes,32.09,32.09,34.49,29.69,32.09,1.6970562748477143
1900,327660050,Walmart,30.02,29.15,32.7,28.21,30.020000000000003,1.6744700654236864
1901,327660050,Wegmans,30.79,31.29,30.79,30.29,30.79,0.3535533905932738
1902,327660050,Whole Foods,1.99,34.09,18.040000000000003,18.040000000000003,18.040000000000003,11.34906383804409
1903,447858500,No Store,22.09,22.09,22.09,22.09,22.09,0.0
1904,447858500,Safeway,21.29,24.99,22.59,21.49,22.59,1.471393896956216
1905,447858500,Walmart,19.26,20.02,22.57,19.47,20.330000000000002,1.322705560584063
1906,447858500,Wegmans,20.69,21.49,21.02333333333333,20.89,21.02333333333333,0.29439202887759386
1907,447858500,Whole Foods,1.99,23.39,16.05666666666667,22.79,16.056666666666665,8.61665054801845
1908,507203618,Safeway,25.79,25.89,25.89,25.99,25.89,0.0707106781186545
1909,507203618,Trader Joes,25.14,25.49,25.14,24.79,25.139999999999997,0.24748737341529137
1910,507203618,Walmart,25.77,24.23,27.31,25.77,25.77,1.0889444430272825
1911,507203618,Wegmans,25.64,25.99,25.64,25.29,25.639999999999997,0.24748737341529137
1912,507203618,Whole Foods,1.99,28.39,15.19,15.19,15.19,9.333809511662428
1913,361981249,No Store,23.49,23.49,23.49,23.49,23.49,0.0
1914,361981249,Safeway,20.59,24.19,21.856666666666666,20.79,21.856666666666666,1.4306175822583296
1915,361981249,Trader Joes,20.09,20.39,20.09,19.79,20.09,0.21213203435596475
1916,361981249,Walmart,18.64,19.42,21.87,19.97666666666667,19.97666666666667,1.191770391756175
1917,361981249,Wegmans,19.99,20.79,20.323333333333334,20.19,20.32333333333333,0.29439202887759486
1918,361981249,Whole Foods,1.99,13.79,25.59,13.79,13.79,8.34386001800126
1919,525505777,Trader Joes,17.09,17.189999999999998,17.189999999999998,17.29,17.189999999999998,0.0707106781186545
1920,525505777,Walmart,16.31,16.96,19.14,16.43,17.21,1.140811114952866
1921,525505777,Wegmans,17.49,18.19,17.790000000000003,17.69,17.79,0.25495097567964004
1922,525505777,Whole Foods,1.99,19.79,22.39,19.29,15.865,8.096720014919622
1923,22976162,No Store,51.69,51.69,51.69,51.69,51.69,0.0
1924,22976162,Safeway,49.59,58.19,52.623333333333335,50.09,52.623333333333335,3.4134537739167716
1925,22976162,Trader Joes,47.19,47.44,47.44,47.69,47.44,0.1767766952966369
1926,22976162,Walmart,49.605000000000004,46.67,52.54,49.605000000000004,49.605000000000004,2.0753584027825163
1927,22976162,Wegmans,48.19,50.09,48.99,48.69,48.99,0.6964194138592081
1928,22976162,Whole Foods,1.99,54.69,61.59,53.09,42.84,23.80005252095045
